phenotype_id,phenotype_name,ltc_id,ltc_name,sex,ltc_type,body_system,code_type,code,description
ICHM,Intracranial haemorrhage,EDHB,Extradural haemorrhage,either,physical,neurological,icd9cm,,
ICHM,Intracranial haemorrhage,ICEB,Intracerebral haemorrhage,either,physical,neurological,icd9cm,,
ICHM,Intracranial haemorrhage,SAHB,Subarachnoid haemorrhage,either,physical,neurological,icd9cm,,
ICHM,Intracranial haemorrhage,SDHB,Subdural haemorrhage,either,physical,neurological,icd9cm,,
ICHM,Intracranial haemorrhage,UICH,Unspecified intracranial haemorrhage,either,physical,neurological,icd9cm,,
IFBD,Inflammatory bowel disease,CROH,Crohn's disease,either,physical,gastrointestinal,icd9cm,,
IFBD,Inflammatory bowel disease,OCOL,Indeterminate and other specified colitis,either,physical,gastrointestinal,icd9cm,,
IFBD,Inflammatory bowel disease,UCOL,Ulcerative colitis,either,physical,gastrointestinal,icd9cm,,
IFBD,Inflammatory bowel disease,UNCO,Unspecified chronic non-infectious  colitis,either,physical,gastrointestinal,icd9cm,,
ILDS,Interstitial lung disease,ILDS,Interstitial lung disease,either,physical,respiratory,icd9cm,,
INCO,Incontinence,FAEC,Faecal incontinence,either,physical,urological,icd9cm,,
INCO,Incontinence,UINC,Unspecified incontinence,either,physical,urological,icd9cm,,
INCO,Incontinence,URNE,Urinary incontinence,either,physical,urological,icd9cm,,
IRBS,Irritable bowel syndrome,IRBS,Irritable bowel syndrome,either,physical,gastrointestinal,icd9cm,,
LEAR,Learning disability,LEAR,Learning disability,either,mental,congenital,icd9cm,,
LGID,Other chronic pathology of the lower gastrointestinal tract ,FISS,Anal fissure,either,physical,gastrointestinal,icd9cm,,
LGID,Other chronic pathology of the lower gastrointestinal tract ,FIST,Anorectal fistula,either,physical,gastrointestinal,icd9cm,,
LGID,Other chronic pathology of the lower gastrointestinal tract ,HEMM,Haemorrhoids,either,physical,gastrointestinal,icd9cm,,
LGID,Other chronic pathology of the lower gastrointestinal tract ,PILO,Pilonidal sinus,either,physical,gastrointestinal,icd9cm,,
LGID,Other chronic pathology of the lower gastrointestinal tract ,PROL,Anal and rectal prolapse,either,physical,gastrointestinal,icd9cm,,
LIVR,Chronic liver disease,LIVR,Chronic liver disease,either,physical,gastrointestinal,icd9cm,,
LYMP,Lymphoedema,LYMP,Lymphoedema,either,physical,rheumatological,icd9cm,,
MACU,Macular and retinal pathology,DTCH,Retinal breaks and detachment,either,physical,ophthalmological,icd9cm,,
MACU,Macular and retinal pathology,RETI,Retinopathy,either,physical,ophthalmological,icd9cm,,
MALA,Coeliac disease and chronic intestinal malabsorption,COEL,Coeliac disease,either,physical,gastrointestinal,icd9cm,,
MALA,Coeliac disease and chronic intestinal malabsorption,OMAL,Other specified malabsorption,either,physical,gastrointestinal,icd9cm,,
MALA,Coeliac disease and chronic intestinal malabsorption,POSU,Postsurgical malabsorption,either,physical,gastrointestinal,icd9cm,,
MALA,Coeliac disease and chronic intestinal malabsorption,STEA,Exocrine pancreas insufficiency,either,physical,gastrointestinal,icd9cm,,
MALA,Coeliac disease and chronic intestinal malabsorption,UMAL,Unspecified malabsorption,either,physical,gastrointestinal,icd9cm,,
MALN,"Abnormal weight loss, low body weight or malnutrition",MALN,"Abnormal weight loss, low body weight or malnutrition",either,physical,metabolic,icd9cm,,
MELA,Melanoma of skin,MELA,Melanoma of skin,either,physical,dermatological,icd9cm,,
MNDS,Anterior horn cell disease,MOND,Motor neuron disease,either,physical,neurological,icd9cm,,
MNDS,Anterior horn cell disease,SMAT,Spinal muscular atrophy,either,physical,neurological,icd9cm,,
